City,Date,NO2_daily,Year,Month
Agassiz,2020-01-01,1.5,2020,1
Agassiz,2020-01-02,4.833333333333333,2020,1
Agassiz,2020-01-03,8.75,2020,1
Agassiz,2020-01-04,5.25,2020,1
Agassiz,2020-01-05,9.416666666666666,2020,1
Agassiz,2020-01-06,9.0,2020,1
Agassiz,2020-01-07,10.782608695652174,2020,1
Agassiz,2020-01-08,7.916666666666667,2020,1
Agassiz,2020-01-09,15.958333333333334,2020,1
Agassiz,2020-01-10,12.666666666666666,2020,1
Agassiz,2020-01-11,7.875,2020,1
Agassiz,2020-01-12,9.041666666666666,2020,1
Agassiz,2020-01-13,1.5833333333333333,2020,1
Agassiz,2020-01-14,1.9166666666666667,2020,1
Agassiz,2020-01-15,1.0,2020,1
Agassiz,2020-01-16,16.1,2020,1
Agassiz,2020-01-17,6.916666666666667,2020,1
Agassiz,2020-01-18,9.125,2020,1
Agassiz,2020-01-19,9.333333333333334,2020,1
Agassiz,2020-01-20,8.25,2020,1
Agassiz,2020-01-21,12.916666666666666,2020,1
Agassiz,2020-01-22,14.708333333333334,2020,1
Agassiz,2020-01-23,11.166666666666666,2020,1
Agassiz,2020-01-24,15.666666666666666,2020,1
Agassiz,2020-01-25,7.0,2020,1
Agassiz,2020-01-26,8.833333333333334,2020,1
Agassiz,2020-01-27,9.375,2020,1
Agassiz,2020-01-28,8.458333333333334,2020,1
Agassiz,2020-01-29,15.541666666666666,2020,1
Agassiz,2020-01-30,11.833333333333334,2020,1
Agassiz,2020-01-31,10.833333333333334,2020,1
Agassiz,2020-02-01,2.125,2020,2
Agassiz,2020-02-02,11.125,2020,2
Agassiz,2020-02-03,7.173913043478261,2020,2
Agassiz,2020-02-04,15.541666666666666,2020,2
Agassiz,2020-02-05,16.208333333333332,2020,2
Agassiz,2020-02-06,18.041666666666668,2020,2
Agassiz,2020-02-07,13.333333333333334,2020,2
Agassiz,2020-02-08,6.291666666666667,2020,2
Agassiz,2020-02-09,7.541666666666667,2020,2
Agassiz,2020-02-10,11.708333333333334,2020,2
Agassiz,2020-02-11,15.291666666666666,2020,2
Agassiz,2020-02-12,11.208333333333334,2020,2
Agassiz,2020-02-13,11.75,2020,2
Agassiz,2020-02-14,7.0,2020,2
Agassiz,2020-02-15,8.833333333333334,2020,2
Agassiz,2020-02-16,6.333333333333333,2020,2
Agassiz,2020-02-17,8.666666666666666,2020,2
Agassiz,2020-02-18,5.458333333333333,2020,2
Agassiz,2020-02-19,3.5,2020,2
Agassiz,2020-02-20,6.291666666666667,2020,2
Agassiz,2020-02-21,12.958333333333334,2020,2
Agassiz,2020-02-22,11.625,2020,2
Agassiz,2020-02-23,4.666666666666667,2020,2
Agassiz,2020-02-24,6.5,2020,2
Agassiz,2020-02-25,9.708333333333334,2020,2
Agassiz,2020-02-26,12.5,2020,2
Agassiz,2020-02-27,13.583333333333334,2020,2
Agassiz,2020-02-28,9.0,2020,2
Agassiz,2020-02-29,5.166666666666667,2020,2
Agassiz,2020-03-01,8.541666666666666,2020,3
Agassiz,2020-03-02,10.708333333333334,2020,3
Agassiz,2020-03-03,6.041666666666667,2020,3
Agassiz,2020-03-04,4.75,2020,3
Agassiz,2020-03-05,8.0,2020,3
Agassiz,2020-03-06,10.333333333333334,2020,3
Agassiz,2020-03-07,6.291666666666667,2020,3
Agassiz,2020-03-08,8.875,2020,3
Agassiz,2020-03-09,7.791666666666667,2020,3
Agassiz,2020-03-10,14.333333333333334,2020,3
Agassiz,2020-03-11,6.625,2020,3
Agassiz,2020-03-12,12.666666666666666,2020,3
Agassiz,2020-03-13,1.75,2020,3
Agassiz,2020-03-14,1.125,2020,3
Agassiz,2020-03-15,1.0416666666666667,2020,3
Agassiz,2020-03-16,3.0476190476190474,2020,3
Agassiz,2020-03-17,4.666666666666667,2020,3
Agassiz,2020-03-18,5.333333333333333,2020,3
Agassiz,2020-03-19,7.208333333333333,2020,3
Agassiz,2020-03-20,7.833333333333333,2020,3
Agassiz,2020-03-21,8.125,2020,3
Agassiz,2020-03-22,8.541666666666666,2020,3
Agassiz,2020-03-23,5.25,2020,3
Agassiz,2020-03-24,6.958333333333333,2020,3
Agassiz,2020-03-25,4.708333333333333,2020,3
Agassiz,2020-03-26,9.125,2020,3
Agassiz,2020-03-27,10.0,2020,3
Agassiz,2020-03-28,8.958333333333334,2020,3
Agassiz,2020-03-29,3.7916666666666665,2020,3
Agassiz,2020-03-30,4.125,2020,3
Agassiz,2020-03-31,5.5,2020,3
Agassiz,2020-04-01,2.0833333333333335,2020,4
Agassiz,2020-04-02,4.708333333333333,2020,4
Agassiz,2020-04-03,3.5833333333333335,2020,4
Agassiz,2020-04-04,2.7083333333333335,2020,4
Agassiz,2020-04-05,2.7083333333333335,2020,4
Agassiz,2020-04-06,4.166666666666667,2020,4
Agassiz,2020-04-07,7.208333333333333,2020,4
Agassiz,2020-04-08,6.416666666666667,2020,4
Agassiz,2020-04-09,6.666666666666667,2020,4
Agassiz,2020-04-10,6.083333333333333,2020,4
Agassiz,2020-04-11,2.5,2020,4
Agassiz,2020-04-12,3.7083333333333335,2020,4
Agassiz,2020-04-13,5.75,2020,4
Agassiz,2020-04-14,9.25,2020,4
Agassiz,2020-04-15,3.739130434782609,2020,4
Agassiz,2020-04-16,5.0,2020,4
Agassiz,2020-04-17,9.791666666666666,2020,4
Agassiz,2020-04-18,3.0416666666666665,2020,4
Agassiz,2020-04-19,5.166666666666667,2020,4
Agassiz,2020-04-20,5.583333333333333,2020,4
Agassiz,2020-04-21,4.6,2020,4
Agassiz,2020-04-22,8.291666666666666,2020,4
Agassiz,2020-04-23,6.541666666666667,2020,4
Agassiz,2020-04-24,7.0,2020,4
Agassiz,2020-04-25,3.75,2020,4
Agassiz,2020-04-26,5.0,2020,4
Agassiz,2020-04-27,4.916666666666667,2020,4
Agassiz,2020-04-28,4.125,2020,4
Agassiz,2020-04-29,4.666666666666667,2020,4
Agassiz,2020-04-30,5.875,2020,4
Agassiz,2020-05-01,5.375,2020,5
Agassiz,2020-05-02,3.0416666666666665,2020,5
Agassiz,2020-05-03,3.5416666666666665,2020,5
Agassiz,2020-05-04,6.041666666666667,2020,5
Agassiz,2020-05-05,4.583333333333333,2020,5
Agassiz,2020-05-06,3.9583333333333335,2020,5
Agassiz,2020-05-07,6.916666666666667,2020,5
Agassiz,2020-05-08,2.0416666666666665,2020,5
Agassiz,2020-05-09,4.083333333333333,2020,5
Agassiz,2020-05-10,1.8333333333333333,2020,5
Agassiz,2020-05-11,2.875,2020,5
Agassiz,2020-05-12,5.833333333333333,2020,5
Agassiz,2020-05-13,5.0,2020,5
Agassiz,2020-05-14,4.75,2020,5
Agassiz,2020-05-15,6.041666666666667,2020,5
Agassiz,2020-05-16,3.125,2020,5
Agassiz,2020-05-17,2.5833333333333335,2020,5
Agassiz,2020-05-18,3.4583333333333335,2020,5
Agassiz,2020-05-19,5.166666666666667,2020,5
Agassiz,2020-05-20,4.75,2020,5
Agassiz,2020-05-21,3.0,2020,5
Agassiz,2020-05-22,6.583333333333333,2020,5
Agassiz,2020-05-23,4.458333333333333,2020,5
Agassiz,2020-05-24,5.125,2020,5
Agassiz,2020-05-25,6.25,2020,5
Agassiz,2020-05-26,4.458333333333333,2020,5
Agassiz,2020-05-27,5.791666666666667,2020,5
Agassiz,2020-05-28,5.333333333333333,2020,5
Agassiz,2020-05-29,6.083333333333333,2020,5
